"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"123",10090,2,"No","05","Alabama","No",70
"124",10090,3,"No","01","Alabama","No",70
"125",10091,1,"No","07","Alabama","No",70
"126",10092,1,"No","01","Alabama","No",70
"127",10093,1,"No","02","Alabama","Yes, Too Fast for Conditions",70
"128",10094,1,"No","02","Texas","Yes, Exceeded Speed Limit",70
"129",10094,2,"No","01","Alabama","No",70
"130",10095,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"131",10096,1,"No","01","Alabama","Yes, Too Fast for Conditions",70
"132",10097,1,"Yes","Unknown","Unknown","Unknown",40
"133",10097,2,"No","04","Alabama","No",40
"134",10098,1,"No","01","Alabama","No",70
"135",10099,1,"No","01","Alabama","Unknown",35
"136",10099,2,"No","01","Florida","No",35
"137",10100,1,"No","02","Alabama","No",30
"138",10101,1,"No","01","Alabama","No",45
"139",10102,1,"No","01","Alabama","No",55
"140",10102,2,"No","01","Alabama","No",55
"141",10103,1,"No","01","Alabama","Unknown",35
"142",10104,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"143",10104,2,"No","02","Alabama","No",40
"144",10105,1,"No","01","Alabama","Unknown",55
"145",10105,2,"No","01","Alabama","Unknown",55
"146",10105,3,"Yes","02","Alabama","Unknown",55
"147",10107,1,"No","02","Alabama","Yes, Exceeded Speed Limit",65
"148",10108,1,"No","01","Alabama","No",20
"149",10109,1,"No","02","Alabama","No",0
"150",10109,2,"No","01","Alabama","No",55
"151",10110,1,"No","01","Alabama","Unknown",35
"152",10111,1,"No","01","Alabama","No",55
"153",10111,2,"No","01","Alabama","No",55
"154",10111,3,"No","01","Alabama","No",55
"155",10112,1,"No","01","Alabama","No",55
"156",10112,2,"No","01","Alabama","No",55
"157",10113,1,"No","02","Alabama","Unknown",45
"158",10114,1,"No","01","Alabama","No",55
"159",10114,2,"No","01","Alabama","No",45
"160",10114,3,"No","01","Alabama","No",55
"161",10115,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"162",10116,1,"No","01","Alabama","No",45
"163",10117,1,"No","04","Alabama","No",0
"164",10117,2,"No","01","Alabama","Unknown",35
"165",10118,1,"No","01","Alabama","No",40
"166",10119,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"167",10120,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"168",10121,1,"No","01","Alabama","No",55
"169",10121,2,"No","01","Alabama","No",55
"170",10122,1,"No","01","Alabama","No",50
"171",10123,1,"No","02","Alabama","No",55
"172",10123,2,"No","02","Alabama","No",55
"173",10124,1,"No","02","Alabama","No",50
"174",10125,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"175",10126,1,"No","01","Alabama","No",30
"176",10127,1,"No","01","Alabama","No",65
"177",10128,1,"No","01","Tennessee","No",35
"178",10128,2,"No","01","Alabama","No",35
"179",10129,1,"No","01","Alabama","No",45
"180",10129,2,"No","02","Alabama","No",45
"181",10130,1,"No","01","Alabama","No",55
"182",10130,2,"No","01","Georgia","No",55
"183",10131,1,"No","01","Alabama","No",55
"184",10132,1,"No","01","Alabama","No",35
"185",10132,2,"No","03","Alabama","No",50
"186",10133,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"187",10134,1,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",55
"188",10134,2,"No","01","Alabama","No",55
"189",10135,1,"No","01","Florida","No",40
"190",10136,1,"No","01","Alabama","No",55
"191",10137,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"192",10138,1,"No","01","Alabama","No",55
"193",10139,1,"No","01","Alabama","No",45
"194",10140,1,"No","02","Alabama","No",55
"195",10141,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"196",10142,1,"No","01","Alabama","Yes, Too Fast for Conditions",40
"197",10142,2,"No","01","Alabama","No",40
"198",10143,1,"No","01","Alabama","No",35
"199",10144,1,"No","01","Alabama","No",55
"200",10144,2,"No","01","Alabama","No",55
"201",10145,1,"No","01","Alabama","No",55
"202",10145,2,"No","02","Alabama","No",55
"203",10146,1,"No","01","Alabama","Yes, Exceeded Speed Limit",60
"204",10146,2,"No","02","Tennessee","No",60
"205",10146,3,"No","01","Alabama","No",60
"206",10146,4,"No","01","Alabama","No",60
"207",10147,1,"Yes","01","Alabama","No",45
"208",10148,1,"No","01","Alabama","No",30
"209",10149,1,"No","02","Alabama","No",55
"210",10150,1,"No","01","Alabama","No",55
"211",10150,2,"No","02","Alabama","No",55
"212",10151,1,"No","01","Alabama","No",45
"213",10152,1,"No","02","Alabama","No",45
"214",10153,1,"Yes","01","Unknown","No",45
"215",10153,2,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"216",10154,1,"No","02","Alabama","No",35
"217",10155,1,"No","01","Alabama","No",35
"218",10156,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"219",10157,1,"No","01","Alabama","Unknown",40
"220",10158,1,"No","01","Alabama","No",55
"221",10158,2,"No","03","Alabama","No",55
"222",10159,1,"No","05","Alabama","No",50
"223",10160,1,"Yes","01","Alabama","Unknown",40
"224",10161,1,"No","01","Alabama","Unknown",25
"225",10162,1,"No","01","Alabama","No",45
"226",10162,2,"No","01","Alabama","No",45
"227",10163,1,"No","01","Alabama","No",55
"228",10164,1,"No","01","Alabama","No",35
"229",10164,2,"No","01","Alabama","Unknown",35
"230",10165,1,"No","01","Alabama","No",45
"231",10167,1,"No","01","Alabama","No",55
"232",10167,2,"No","01","Alabama","No",65
"233",10168,1,"No","03","Alabama","No",20
"234",10168,2,"No","01","Alabama","No",50
"235",10169,1,"No","01","Alabama","No",65
"236",10170,1,"No","01","Florida","No",45
"237",10170,2,"No","01","Alabama","No",40
"238",10170,3,"No","04","Florida","No",40
"239",10171,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"240",10172,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"241",10173,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"242",10174,1,"No","01","Alabama","Unknown",55
"243",10175,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"244",10175,2,"No","03","Alabama","No",55
"245",10176,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"246",10177,1,"No","02","Alabama","No",65
"247",10177,2,"No","01","Alabama","No",65
"248",10178,1,"No","03","Alabama","No",45
"249",10178,2,"No","01","Alabama","No",45
"250",10179,1,"No","01","Alabama","No",25
"251",10180,1,"No","01","Alabama","Unknown",45
"252",10180,2,"No","01","Alabama","No",45
"253",10181,1,"No","01","Alabama","No",55
"254",10181,2,"No","02","Alabama","No",55
"255",10182,1,"No","05","Alabama","No",0
"256",10182,2,"No","02","Alabama","No",65
"257",10183,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"258",10184,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"259",10185,1,"No","01","Alabama","Unknown",40
"260",10186,1,"No","01","Alabama","Unknown",60
"261",10186,2,"No","04","Alabama","No",60
"262",10187,1,"No","01","Alabama","No",65
"263",10187,2,"No","01","Alabama","No",65
"264",10188,1,"No","01","Mississippi","No",70
"265",10189,1,"No","03","Alabama","No",60
"266",10190,1,"No","01","Alabama","No",70
"267",10190,2,"No","02","Alabama","No",70
"268",10190,3,"No","04","Alabama","No",70
"269",10191,1,"Yes","Unknown","Unknown","Unknown",65
"270",10192,1,"No","01","Alabama","No",40
"271",10193,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"272",10194,1,"No","01","Alabama","No",45
"273",10195,1,"No","01","Alabama","No",60
"274",10195,2,"No","03","Alabama","No",60
"275",10195,3,"No","01","Alabama","No",60
"276",10196,1,"No","01","Alabama","No",55
"277",10196,2,"No","01","Alabama","No",55
"278",10197,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"279",10198,1,"No","02","Alabama","No",45
"280",10198,2,"No","01","Alabama","Unknown",45
"281",10199,1,"No","01","Alabama","Unknown",50
"282",10199,2,"No","01","Alabama","No",50
"283",10199,3,"No","01","Georgia","No",30
"284",10200,1,"No","02","Alabama","No",30
"285",10200,2,"No","01","Alabama","No",40
"286",10201,1,"No","03","Alabama","No",45
"287",10202,1,"No","02","Alabama","No",45
"288",10203,1,"No","01","Ohio","Yes, Exceeded Speed Limit",35
"289",10203,2,"No","02","Alabama","No",35
"290",10204,1,"No","04","Alabama","No",45
"291",10204,2,"No","01","Alabama","No",45
"292",10205,1,"No","01","Alabama","Unknown",40
"293",10205,2,"No","02","Alabama","No",40
"294",10205,3,"No","01","Alabama","No",40
"295",10206,1,"No","01","Alabama","Unknown",50
"296",10207,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"297",10208,1,"No","01","Alabama","No",55
"298",10209,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"299",10210,1,"No","01","Alabama","No",50
"300",10210,2,"No","01","Alabama","No",50
"301",10210,3,"No","04","Illinois","No",50
"302",10210,4,"No","02","Georgia","No",50
"303",10211,1,"No","01","Alabama","No",55
"304",10211,2,"No","01","Alabama","No",55
"305",10212,1,"No","01","Alabama","Unknown",30
"306",10213,1,"No","01","Alabama","No",35
"307",10213,2,"No","01","Alabama","No",45
"308",10214,1,"No","01","Illinois","Unknown",40
"309",10215,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"310",10216,1,"No","01","North Carolina","Unknown",35
"311",10217,1,"No","01","Alabama","No",30
"312",10217,2,"No","01","New York","No",30
"313",10218,1,"No","02","Alabama","Unknown",45
"314",10219,1,"No","02","Alabama","No",55
"315",10219,2,"No","01","Tennessee","No",55
"316",10220,1,"No","01","Alabama","No",55
"317",10220,2,"No","01","Alabama","No",55
"318",10221,1,"No","01","Alabama","No",55
"319",10222,1,"No","02","Florida","Unknown",40
"320",10222,2,"No","01","Alabama","Unknown",40
"321",10222,3,"No","02","Alabama","No",40
"322",10223,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"323",10224,1,"No","01","Alabama","Unknown",55
"324",10225,1,"No","03","Alabama","No",35
"325",10226,1,"Yes","Unknown","Unknown","Unknown",30
"326",10227,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"327",10228,1,"No","01","Alabama","No",35
"328",10228,2,"No","01","Alabama","No",35
"329",10229,1,"No","02","Alabama","No",0
"330",10229,2,"Yes","01","Alabama","Yes, Exceeded Speed Limit",45
"331",10230,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"332",10230,2,"No","03","Alabama","No",45
"333",10231,1,"No","01","Alabama","No",45
"334",10232,1,"No","02","Alabama","No",25
"335",10233,1,"No","01","Alabama","Unknown",55
"336",10233,2,"No","01","Mississippi","No",55
"337",10234,1,"No","01","Alabama","Yes, Exceeded Speed Limit",65
"338",10234,2,"No","01","Alabama","No",35
"339",10235,1,"No","01","Alabama","No",55
"340",10236,1,"No","01","Tennessee","Yes, Exceeded Speed Limit",45
